Period,Period Moving Avg,Season,Temp C,temp real C,Time,Weather,Wind kph,Wind Speed Kph,Count,F1,Humidity Percent,Is Holiday,Is Weekend,temp feels like C
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 00:00:00,Broken clouds,3.4,6.0,182,0,0.93,0,1,2
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 01:00:00,Clear,3.4,5.0,138,1,0.93,0,1,2.5
01-01-2015,04-01-2015,winter,2.4,2.5,04-01-2015 02:00:00,Clear,0.0,0.0,134,2,0.965,0,1,2.5
01-01-2015,04-01-2015,winter,0.0,2.0,04-01-2015 03:00:00,Clear,0.0,0.0,72,3,1,0,1,2
01-01-2015,04-01-2015,winter,0.0,2.0,04-01-2015 04:00:00,Clear,3.4,6.5,47,4,0.93,0,1,0
01-01-2015,04-01-2015,winter,0.0,2.0,04-01-2015 05:00:00,Clear,3.4,4.0,46,5,0.93,0,1,2
01-01-2015,04-01-2015,winter,0.0,1.0,04-01-2015 06:00:00,Cloudy,6.9,7.0,51,6,1,0,1,-1
01-01-2015,04-01-2015,winter,0.0,1.0,04-01-2015 07:00:00,Cloudy,6.9,7.0,75,7,1,0,1,-1
01-01-2015,04-01-2015,winter,0.0,1.5,04-01-2015 08:00:00,Cloudy,6.9,8.0,131,8,0.965,0,1,-1
01-01-2015,04-01-2015,winter,0.0,2.0,04-01-2015 09:00:00,Broken clouds,6.9,9.0,301,9,1,0,1,-0.5
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 10:00:00,Broken clouds,10.3,12.0,528,10,0.93,0,1,-0.5
01-01-2015,04-01-2015,winter,0.0,2.0,04-01-2015 11:00:00,Broken clouds,10.3,12.0,727,11,1,0,1,-1.5
01-01-2015,04-01-2015,winter,0.0,2.0,04-01-2015 12:00:00,Cloudy,10.3,13.0,862,12,0.965,0,1,-1.5
01-01-2015,04-01-2015,winter,2.4,3.0,04-01-2015 13:00:00,Broken clouds,13.7,15.0,916,13,0.87,0,1,-0.5
01-01-2015,04-01-2015,winter,2.4,2.5,04-01-2015 14:00:00,Broken clouds,6.9,8.0,1039,14,0.9,0,1,0
